lou-reed	196	4606	35946	4.63	('no', 419)	('na_na', 354)	('na_na_na', 338)
martina-mcbride	104	2030	13500	4.7	('but', 182)	('here_heart', 26)	('safe_arms_love', 12)
skid-row	40	1673	5419	4.45	('she', 51)	('shake_shake', 18)	('sweet_little_sister', 13)
primal-fear	36	1148	3872	3.84	('no', 65)	("there's_no", 16)	('dirt_gold_honey', 8)
sting	170	4269	27006	4.75	('all', 285)	('one_day', 40)	('only_only_only', 27)
everlast	34	2411	9194	5.13	('one', 163)	('one_two', 122)	('two_one_two', 80)
dire-straits	49	1902	7536	5.04	('all', 106)	('so_far', 20)	('far_away_from', 15)
the-verve	98	2311	11606	4.44	('but', 131)	('no_no', 27)	('endless_life_endless', 16)
the-cardigans	72	1567	6946	3.7	("it's", 86)	('music_svensson', 24)	('come_come_come', 15)
metallica	117	2786	18077	3.79	('what', 250)	("what_i've", 51)	("what_i've_known", 20)
clint-black	51	1582	7349	5.36	('all', 99)	("i've_been", 26)	('no_time_kill', 10)
dinosaur-jr	72	1534	7751	23.56	("it's", 145)	('come_down', 28)	('down_come_down', 25)
cradle-of-filth	117	5683	22207	3.85	('her', 476)	('nymphetamine_nymphetamine', 26)	('no_no_no', 16)
dave-matthews-band	96	2159	16687	4.05	('oh', 241)	('love_love', 41)	('love_love_love', 28)
garth-brooks	142	3166	22024	4.55	('she', 239)	("maybe_it's", 44)	('wild_as_wind', 25)
fastball	43	1265	5085	4.35	('dont', 80)	('do_do', 21)	('do_do_do', 19)
goo-goo-dolls	118	1988	15317	4.3	('dont', 289)	('dont_know', 47)	('5309_867_5309', 27)
screaming-trees	89	1651	9950	4.38	('all', 151)	('no_one', 19)	('ah_ah_ah', 12)
nine-inch-nails	84	1549	9034	4.05	('all', 187)	('control_am', 26)	('get_down_make', 15)
firehouse	61	1854	7568	4.28	('get', 91)	('oh_oh', 30)	('oh_oh_oh', 28)
drowning-pool	38	891	5100	4.4	('more', 89)	('more_more', 39)	('more_more_more', 24)
blind-melon	42	1222	4679	4.85	('all', 62)	('from_inside', 16)	('inside_from_inside', 8)
brooks-and-dunn	111	2276	16050	4.78	('her', 187)	('na_na', 24)	('na_na_na', 20)
wynonna	68	1745	8251	4.38	('love', 169)	('oh_oh', 58)	('oh_oh_oh', 47)
elvis-costello	330	6203	45155	4.9	('but', 513)	('dont_know', 84)	('la_la_la', 28)
rollins-band	53	1420	8262	4.88	('so', 141)	('do_do', 45)	('freak_freak_freak', 40)
dokken	94	1738	12076	3.74	('love', 152)	('night_by', 27)	('night_by_night', 27)
megadeth	120	3436	15412	4.08	('all', 156)	('solo_mustaine', 52)	('oh_oh_oh', 16)
soundgarden	74	1569	6006	3.69	('all', 87)	('dont_care', 13)	('by_chris_cornell', 12)
seether	44	994	5725	4.65	('away', 83)	('same_old', 18)	('same_old_trip', 16)
whitesnake	103	1700	16001	4.0	('love', 449)	("i've_been", 53)	("rock_'n_roll", 32)
clay-walker	67	1667	9742	4.66	('love', 176)	('what_do', 20)	("aint_thinkin_'bout", 12)
slayer	119	3562	15763	3.7	('all', 204)	('music_hanneman', 34)	('somebody_hey_somebody', 26)
eve-6	36	1392	4487	5.81	("you're", 58)	("you're_one", 25)	('really_got_now', 9)
iron-savior	41	1482	5837	5.03	('will', 111)	('music_lyrics', 25)	('music_lyrics_by', 25)
henry-rollins	48	1311	6066	4.5	('see', 94)	('do_do', 39)	('do_do_do', 27)
